,id,reference_space_id,structure_id,x,y,z
640,3353,3,17598,9104,3424,3080
641,2900,4,17157,7888,2976,3120
642,461,2,15736,5600,2160,3340
643,1033,2,17158,5968,2960,2600
644,3172,4,17418,8048,3600,2900
645,900,2,16813,6320,1680,2840
646,3288,4,17537,8560,3984,3480
647,181,1,17155,3952,2384,1440
648,5578,8,17355,12296,5846,3725
649,226,1,17653,1392,4912,1400
650,4032,6,17500,9482,5210,3400
651,2529,3,16753,8192,2256,3740
652,3352,4,17597,9040,3088,3420
653,3991,6,16919,8862,3116,2660
654,5099,8,16742,8912,5495,5150
655,3821,5,15576,3088,4000,2240
656,9388,9,17598,12950,5725,8050
657,675,2,16377,4288,1680,3360
658,3959,6,16502,6316,4071,3900
659,8052,9,16754,9900,3150,6950
660,7426,9,16382,6925,4025,6800
661,195,1,17292,4448,3072,920
662,632,2,16313,4560,2368,2860
663,4039,6,17650,10001,5176,3920
664,8617,10,17123,9350,5875,4915
665,9198,9,17478,12725,5925,7225
666,3893,5,17223,6224,3680,2200
667,931,2,16911,6112,1728,3320
668,4740,8,16313,7270,5059,3300
669,5629,8,17417,12530,5059,5025
670,808,2,16641,5536,1648,3320
671,4026,6,17417,9247,3652,3800
672,5525,8,17291,12028,4858,4900
673,1136,2,17380,6688,3168,3140
674,8821,10,17250,9975,6550,4915
675,9407,10,17620,12725,6675,5565
676,228,1,17734,2208,5056,1540
677,3351,3,17597,9040,3088,3420
678,7877,10,16652,8825,2325,5665
679,4018,6,17292,8661,4875,2840
680,1185,2,17477,7504,2336,3000
681,4111,7,16876,8962,4171,4400
682,3166,4,17415,7664,3888,3560
683,3973,6,16726,6835,3116,3240
684,3978,6,16754,7873,2647,2900
685,4132,7,17182,9096,6098,4300
686,936,2,16919,6352,2160,2540
687,5310,8,17024,11777,4389,4500
688,33,1,15750,2256,2000,880
689,4024,6,17380,8594,5210,3380
690,173,1,17025,3792,2208,800
691,155,1,16813,4416,1600,1140
692,2901,3,17158,7040,3344,2880
693,8148,9,16813,11750,3150,6375
694,888,2,16791,5856,1600,3040
695,2720,4,16967,7136,2528,3460
696,4163,7,17562,11978,6701,4400
697,329,1,126651706,3392,768,1460
698,736,2,16519,4864,1232,3080
699,4304,8,15750,5930,3769,2950
700,1669,3,15750,4640,2192,2560
701,2834,4,17094,7840,3040,2880
702,2685,3,16916,8064,3024,2820
703,7636,9,16502,8025,5300,5750
704,3102,4,17351,7360,3920,3680
705,968,2,17022,6112,2048,3280
706,3935,6,15750,4054,3283,1760
707,3347,3,17595,8624,4144,3500
708,165,1,16911,4032,1424,1380
709,2025,3,16247,6128,2944,3320
710,2434,4,16658,7552,1328,2920
711,1044,2,17182,5856,3104,3100
712,4006,6,17157,9197,4020,2440
713,4079,7,16377,6299,2563,4825
714,464,2,15740,3808,2448,3260
715,201,1,17355,4576,3248,920
716,2247,3,16487,6256,2208,3440
717,2928,4,17182,6784,3584,3360
718,4898,8,16502,8544,5428,5175
719,2969,3,17222,7840,3008,3100
720,3836,5,16247,4368,3520,2260
721,5774,8,17595,12564,7254,5200
722,8986,9,17351,10275,7250,5750
